Usuario,Año,NumPreguntas,TotalRespuestas,TotalComentarios,MediaRespuestas,MaxRespuestas
Ricardo,2016,7,12,15,1.71,4
Ignacio,2016,1,1,0,1.0,1
Norma.P,2016,1,1,5,1.0,1
Cris Valdez,2016,14,17,37,1.21,3
Franxo Bass,2016,2,2,2,1.0,1
edgargrs,2016,1,1,0,1.0,1
brahim,2016,1,2,8,2.0,2
Alberto Rodriguez,2016,1,1,1,1.0,1
Javier MCar Mcar,2016,1,0,4,0.0,0
Yise Garcia,2016,2,2,3,1.0,1
Luis Pessini Pinilla,2016,1,2,0,2.0,2
Francisco Méndez,2016,1,3,0,3.0,3
QBox,2016,1,1,1,1.0,1
Ricardo Villagrana Larios,2016,1,3,8,3.0,3
Raúl,2017,18,19,28,1.06,3
Cesar Martin Genova,2017,1,1,0,1.0,1
Jose Ochoa,2017,1,1,0,1.0,1
Nacho,2017,5,6,8,1.2,2
SpartanDev,2017,1,1,4,1.0,1
Lucho38,2017,1,2,4,2.0,2
VicSulva,2017,1,1,2,1.0,1
Calicol,2017,1,1,0,1.0,1
Sojansons,2017,1,1,1,1.0,1
Josues,2017,6,8,15,1.33,2
Jose Maria Toscano,2017,1,2,2,2.0,2
Tehz,2017,15,23,52,1.53,4
Gary Mckinnon,2017,1,0,1,0.0,0
josmassive,2017,1,1,1,1.0,1
merry,2017,1,1,2,1.0,1
Nobody,2017,1,1,2,1.0,1
Fer,2017,1,1,2,1.0,1
David Jiménez,2017,1,2,3,2.0,2
ALVARO JAVIER MEJIA HENAO,2017,1,1,0,1.0,1
SomeRandomCoder,2017,1,2,5,2.0,2
Andrés Oporto,2017,16,25,33,1.56,3
J.Tomios,2017,2,6,11,3.0,3
Joaquin Ferrari,2017,1,1,6,1.0,1
Niko Wilches,2017,1,2,5,2.0,2
Rigoli,2017,1,1,6,1.0,1
Miriam Yaneth,2017,1,1,0,1.0,1
merisavino,2017,5,9,10,1.8,2
Baku84,2017,10,14,32,1.4,2
Jose Antonio Moral,2017,8,11,29,1.38,3
Eddie Gomez Ochante,2017,2,6,4,3.0,4
Houth,2017,5,3,32,0.6,2
Alphonsus,2017,1,1,5,1.0,1
dante244,2017,1,1,2,1.0,1
Gerardino,2017,2,2,0,1.0,1
Miguel Molina,2017,1,0,1,0.0,0
Sakrow,2017,1,4,0,4.0,4
jesus noel de la cruz martin,2017,2,2,2,1.0,1
monsalve90,2017,1,0,2,0.0,0
jara,2017,2,2,1,1.0,1
Linx056,2017,1,0,3,0.0,0
Adrián Sanz,2017,2,3,10,1.5,2
JC Robles,2017,1,0,3,0.0,0
noIdea,2017,1,1,1,1.0,1
Cead135,2017,1,1,1,1.0,1
jvalverb,2017,1,1,2,1.0,1
Christopher,2017,1,1,2,1.0,1
juandah,2018,2,1,2,0.5,1
auremanci,2018,5,3,16,0.6,1
SDiego,2018,1,1,0,1.0,1
Oscar Díaz,2018,1,3,0,3.0,3
Frankenstainero,2018,3,4,12,1.33,2
Yept,2018,8,9,20,1.13,2
Cote Díaz,2018,1,2,3,2.0,2
j bello,2018,2,3,3,1.5,2
HeckDan,2018,6,9,5,1.5,4
